Gene expression phytotron,Lacy - Smokies,Lacy - field,Lacy Phyt,Katie - field,Katie - CG,Mike,Andrew,Bernice,Matt,Project,Site,Collection_no,Phytotron_ID (Ap_GXL),Species,Locale,State
,,,,,,,x,x,,Bernice,Novcoc,1,,Novomessor cockerelli,Cochise Co.,AZ
,,,,,,,x,x,,ANBE,TU,6-4,,Veromessor pergandei,Tucson,AZ
,,,,,,,,x,,Bernice,Aphash,12,,ashmeadi,"Pullen Park, Wake Co.",NC
,,,,,,,,x,,Bernice,Aphcar,2,,carolinensis,Bladen County,NC
,,,,,,,,x,,Bernice,Aphfle,1,,flemingi,Alachua Co.,FL
,,,,,,,,x,,Bernice,Aphflo,6,,floridana,Tattnall Co.,GA
,,,,,,,,x,,Bernice,Aphful,13,,fulva,Hennepin Canal near town of Rock Falls,IL
,,,,,,,,x,,Bernice,Aphhua,1,,huachucana,Santa Cruz Co.,AZ
,,,,,,,,x,,Bernice,Aphhua,4,,huachucana,Canyon de Shelley,AZ
,,,,,,,,x,,Bernice,Aphjap,1,,japonica,Mount Kinkouzan,JAPAN
,,,,,,,,x,,Bernice,Aphlam,1,,lamellidans,near Chancellorsville Battlefield,VA
,,,,,,,,x,,Bernice,Aphmar,1,,mariae,near Chancellorsville Battlefield,VA
,,,,,,,,x,,Bernice,Aphmeg,1,,megommata,"Clark Co, Hwy 165",NV
,,,,,,,,x,,Bernice,Aphmia,5,,miamiana,Bladen Lakes State Forest nr river,NC
,,,,,,,,x,,Bernice,Aphocc,5,,occidentalis,Big Cottonwood Canyon,UT
,,,,,,,,x,,Bernice,Aphpat,1,,patruelis,San Clemente Island,CA
,,,,,,,,x,,Bernice,Aphpic,30,,picea,"Lieber Rec.l Area, Covered Bridge Trail",IN
,,,,,,,,x,,Bernice,Aphpic,32,,picea,Pinery Provincial Park,ON
,,,,,,,,x,,Bernice,Aphrud,6,,rudis,McIntyre Park,VA
,,,,,,,,x,,Bernice,Aphrud,14,,picea,Rondeau Provincial Park,ON
,,,,,,,,x,,Bernice,Aphrud,16,,rudis,"Wayne Naional Forest, Wildcat trail",OH
,,,,,,,,x,,Bernice,Aphrud,45,,rudis,"Lieber Rec.l Area, Covered Bridge Trail",IN
,,,,,,,,x,,Bernice,Aphrud,48,,rudis,Duke Forest Warming Project,NC
,,,,,,,,x,,Bernice,Aphten,5,,tennesseensis,Stephens State Forest: Lucas Unit,IA
,,,,,,,,x,,Bernice,Aphtex,7,,texana,West Tyson County Park,MO
,,,,,,,,x,,Bernice,Aphtre,1,,treatae,Edwin S. George Reserve,MI
,,,,,,,,x,,Bernice,Aphuin,2,,uinta,Clark Co.,NV
,x,,,,,,,,,Lacy_field,Site_10,3,,,34.79990N 83.74331W 898m,
,x,,,,,,,,,Lacy_field,Site_10,6,,,34.79990N 83.74331W 898m,
,x,,,,,,,,,Lacy_field,Site_10,7,,,34.79990N 83.74331W 898m,
,x,,,,,,,,,Lacy_field,Site_10,8,,,34.79990N 83.74331W 898m,
,x,,,,,,,,,Lacy_field,Site_18,1,,,34.90499N 83.41370W 1052m,
,x,,,,,,,,,Lacy_field,Site_18,4,,,34.90499N 83.41370W 1052m,
,x,,,,,,,,,Lacy_field,Site_18,6,,,34.90499N 83.41370W 1052m,
,x,,,,,,,,,Lacy_field,Site_18,10,,,34.90499N 83.41370W 1052m,
,x,,,,,,,,,Lacy_field,Site_19,4,,,34.90898N 83.41145W 927m,
,x,,,,,,,,,Lacy_field,Site_19,5,,,34.90898N 83.41145W 927m,
,x,,,,,,,,,Lacy_field,Site_19,8,,,34.90898N 83.41145W 927m,
,x,,,,,,,,,Lacy_field,Site_19,9,,,34.90898N 83.41145W 927m,
,x,,,,,,,,,Lacy_field,Site_20,1,,,34.91568N 83.41521W 821m,
,x,,,,,,,,,Lacy_field,Site_20,5,,,34.91568N 83.41521W 821m,
,x,,,,,,,,,Lacy_field,Site_20,9,,,34.91568N 83.41521W 821m,
,x,,,,,,,,,Lacy_field,Site_20,10,,,34.91568N 83.41521W 821m,
,x,,,,,,,,,Lacy_field,Site_23,1,,,"34.70572N,83.38880W 473m",
,x,,,,,,,,,Lacy_field,Site_23,6,,,"34.70572N,83.38880W 473m",
,x,,,,,,,,,Lacy_field,Site_23,9,,,"34.70572N,83.38880W 473m",
,x,,,,,,,,,Lacy_field,Site_23,10,,,"34.70572N,83.38880W 473m",
,x,,,,,,,,,Lacy_field,Site_5,2,,,34.71302N 83.91108W 702m,
,x,,,,,,,,,Lacy_field,Site_5,7,,,34.71302N 83.91108W 702m,
,x,,,,,,,,,Lacy_field,Site_5,9,,,34.71302N 83.91108W 702m,
,x,,,,,,,,,Lacy_field,Site_5,10,,,34.71302N 83.91108W 702m,
,x,,,,,,,,,Lacy_field,Site_7,3,,,34.68180N 83.89511W 503m,
,x,,,,,,,,,Lacy_field,Site_7,6,,,34.68180N 83.89511W 503m,
,x,,,,,,,,,Lacy_field,Site_7,7,,,34.68180N 83.89511W 503m,
,x,,,,,,,,,Lacy_field,Site_7,8,,,34.68180N 83.89511W 503m,
,x,,,,,,,,,Lacy_field,Site_8,3,,,34.66602N 83.87864W 513m,
,x,,,,,,,,,Lacy_field,Site_8,4,,,34.66602N 83.87864W 513m,
,x,,,,,,,,,Lacy_field,Site_8,5,,,34.66602N 83.87864W 513m,
,x,,,,,,,,,Lacy_field,Site_8,8,,,34.66602N 83.87864W 513m,
,,,,,,,x,,,ANBE,Ala,1,,miamiana,Alachua Co,FL
,,,,,,,x,,,ANBE,Ala,2,,miamiana,Alachua Co,FL
,,,,,,,x,,,ANBE,Ala,3,,miamiana,Alachua Co,FL
,,,,,,,x,,,ANBE,Ala,4,,miamiana,Alachua Co,FL
,,,,,,,x,,,ANBE,Ala,5,,miamiana,Alachua Co,FL
,,,,,,,x,,,ANBE,Camp-NSP,,,Camponotus,Neshaminy State Park,PA
,,,,,,,x,,x,ANBE,CJ,1,,,"Cabin John Park, Montgomery Co.",
,,,,,,,x,,x,ANBE,CJ,2,,fulva,"Cabin John Park, Montgomery Co.",MD
,,,,,,,x,,x,ANBE,CJ,3,,rudis,"Cabin John Park, Montgomery Co.",MD
,,,,,,,x,,x,ANBE,CJ,4,,rudis,"Cabin John Park, Montgomery Co.",MD
,,,,,,,x,,x,ANBE,CJ,5,,rudis,"Cabin John Park, Montgomery Co.",MD
,,,,,,,x,,x,ANBE,CJ,6,,fulva,"Cabin John Park, Montgomery Co.",MD
,,,,,,,x,,x,ANBE,CJ,7,,rudis,"Cabin John Park, Montgomery Co.",MD
,,,,,,,x,,x,ANBE,CJ,8,,fulva,"Cabin John Park, Montgomery Co.",MD
,,,,,,,x,,x,ANBE,CJ,9,,rudis,"Cabin John Park, Montgomery Co.",MD
,,,,,,,x,,,ANBE,Crematogaster,,,Crematogaster sp.,Welder Wildlife foundation,TX
